Class,Percent Misspelled,Has URL,Fully Uppercase,Total Words
1,0.19298245614035087,0,0.03508771929824561,171
0,0.6,0,0.0,5
1,0.10353535353535354,1,0.030303030303030304,396
1,0.11330049261083744,0,0.041050903119868636,609
0,0.0,0,0.0,6
0,0.3181818181818182,0,0.045454545454545456,22
0,0.4166666666666667,0,0.08333333333333333,12
0,0.2857142857142857,0,0.0,63
1,0.11604095563139932,0,0.032423208191126277,586
0,0.10344827586206896,0,0.06896551724137931,29
0,0.375,0,0.08333333333333333,24
0,0.21428571428571427,0,0.07142857142857142,14
1,0.11014492753623188,0,0.9826086956521739,345
1,0.162,0,0.074,500
0,0.23076923076923078,0,0.24358974358974358,78
1,0.19962686567164178,0,0.018656716417910446,536
0,0.1111111111111111,0,0.0,9
0,0.10526315789473684,0,0.07894736842105263,38
0,0.16666666666666666,0,0.0,6
1,0.136986301369863,0,0.0136986301369863,146
0,0.19444444444444445,0,0.0,36
1,0.17894736842105263,0,0.9789473684210527,285
0,0.1263537906137184,0,0.01444043321299639,277
0,0.0,0,0.0,1
1,0.21826625386996903,1,0.021671826625386997,646
0,0.30927835051546393,0,0.2268041237113402,97
0,0.3076923076923077,0,0.038461538461538464,26
0,0.25,0,0.07142857142857142,28
0,0.0,0,0.0,3
0,0.0,0,0.0,1
1,0.13959390862944163,0,0.04568527918781726,394
1,0.0,0,0.0,1
1,0.22727272727272727,0,0.5454545454545454,44
0,0.13829787234042554,0,0.010638297872340425,94
0,0.1,0,0.1,20
0,0.1320754716981132,0,0.0,53
0,0.0,0,0.0,1
1,0.08888888888888889,0,0.016666666666666666,540
1,0.14432989690721648,0,0.1958762886597938,97
1,0.11608961303462322,0,0.06924643584521385,491
1,0.09431137724550898,0,0.041916167664670656,668
1,0.13539192399049882,1,0.0166270783847981,421
1,0.14035087719298245,0,0.9473684210526315,57
0,0.1856763925729443,1,0.005305039787798408,377
0,0.0,0,0.0,1
0,0.2,0,0.2,5
1,0.2350597609561753,0,0.029880478087649404,502
1,0.1724137931034483,0,0.3448275862068966,29
0,0.0,0,0.75,4
0,0.25,0,0.0,4
1,0.164021164021164,1,0.0,189
1,0.17204301075268819,0,0.03655913978494624,465
1,0.2619047619047619,1,0.023809523809523808,42
0,0.2692307692307692,0,0.07692307692307693,26
0,0.0,0,0.0,1
1,0.11816192560175055,1,0.028446389496717725,457
1,0.13863636363636364,1,0.015909090909090907,440
1,0.3333333333333333,0,0.0,6
0,0.0,0,0.0,1
1,0.19958847736625515,0,0.02880658436213992,486
1,0.10578842315369262,0,0.031936127744510975,501
0,0.0,0,0.0,1
0,0.16,0,0.04,25
0,0.05555555555555555,0,0.05555555555555555,18
1,0.1619047619047619,0,0.004761904761904762,210
1,0.11068702290076336,1,0.9561068702290076,524
1,0.1875,0,0.09895833333333333,192
1,0.25274725274725274,1,0.03021978021978022,364
0,0.40625,0,0.020833333333333332,96
1,0.07172413793103448,0,0.04827586206896552,725
1,0.2033195020746888,1,0.035269709543568464,482
0,0.08333333333333333,0,0.0,12
1,0.11636363636363636,0,0.04,275
0,0.0,0,0.0,1
0,0.08333333333333333,0,0.1111111111111111,36
0,0.46153846153846156,0,0.15384615384615385,13
1,0.14832535885167464,0,0.049441786283891544,627
0,0.22727272727272727,0,0.0,22
1,0.2586605080831409,1,0.011547344110854504,433
0,0.0,0,0.0,5
1,0.15445544554455445,0,0.1405940594059406,505
0,0.0,0,0.0,2
1,0.1943231441048035,1,0.04585152838427948,458
0,0.0,0,0.0,1
1,0.18181818181818182,0,0.012987012987012988,77
0,0.4583333333333333,0,0.08333333333333333,24
1,0.11814345991561181,0,0.016877637130801686,237
0,0.047619047619047616,0,0.047619047619047616,21
0,0.0,0,0.16666666666666666,6
0,0.13333333333333333,0,0.0,15
0,0.2807017543859649,0,0.03508771929824561,57
0,0.2,0,0.0,15
1,0.2391304347826087,0,0.043478260869565216,46
0,0.0,0,0.0,5
0,0.3333333333333333,0,0.0,6
1,0.1375770020533881,1,0.03696098562628337,487
0,0.0,0,0.0,1
0,0.25287356321839083,0,0.20689655172413793,87
0,0.0,0,0.0,1
0,0.22340425531914893,0,0.0,94
0,0.1875,0,0.0625,16
1,0.0,0,0.0,1
1,0.16913319238900634,0,0.03805496828752643,473
1,0.20588235294117646,0,0.029411764705882353,34
0,0.2,0,0.0,5
1,0.103125,1,0.059375,320
0,0.2222222222222222,0,0.1111111111111111,18
0,0.05263157894736842,0,0.05263157894736842,19
1,0.10404624277456648,0,0.057803468208092484,346
1,0.17383177570093458,0,0.029906542056074768,535
0,0.3333333333333333,0,0.0,9
0,0.06666666666666667,0,0.0,15
0,0.14814814814814814,0,0.0,27
1,0.16374269005847952,1,0.98635477582846,513
0,0.23333333333333334,0,0.03333333333333333,30
0,0.1872852233676976,1,0.020618556701030927,582
0,0.15384615384615385,0,0.0,13
1,0.11286681715575621,0,0.04288939051918736,443
0,0.14832535885167464,0,0.031698564593301434,1672
1,0.12014787430683918,0,0.027726432532347505,541
0,0.2,0,0.2,5
0,0.0,0,0.2,5
0,0.1391880695940348,0,0.0115990057995029,1207
0,0.14814814814814814,0,0.0,27
0,0.16666666666666666,0,0.0,6
0,0.07142857142857142,0,0.0,14
0,0.23636363636363636,0,0.01818181818181818,55
1,0.21194029850746268,0,0.020895522388059702,335
1,0.10948905109489052,0,0.0340632603406326,411
0,0.05263157894736842,0,0.05263157894736842,19
0,0.27149321266968324,0,0.3891402714932127,221
0,0.0,0,0.09090909090909091,11
0,0.06875,0,0.04375,160
1,0.10020876826722339,1,0.025052192066805846,479
0,0.14285714285714285,0,0.0,7
0,0.3,0,0.2,10
0,0.0,0,0.2,5
0,0.2608695652173913,0,0.08695652173913043,23
1,0.09443507588532883,0,0.023608768971332208,593
0,0.1111111111111111,0,0.0,18
1,0.1759656652360515,0,0.017167381974248927,233
0,0.17410714285714285,0,0.008928571428571428,224
1,0.18752348741074784,0,0.04547162720781661,2661
0,0.0,0,0.0,2
0,0.13043478260869565,0,0.0,23
0,0.0,0,0.0,1
1,0.1935483870967742,1,0.07661290322580645,496
0,0.0,0,0.0,1
0,0.07142857142857142,0,0.07142857142857142,14
1,0.20100502512562815,0,0.09045226130653267,398
0,0.2,0,0.2,5
0,0.0,0,0.0,2
0,0.07407407407407407,0,0.0,27
0,0.42857142857142855,0,0.2857142857142857,7
1,0.25,1,0.07894736842105263,456
0,0.125,0,0.125,8
1,0.17883211678832117,1,0.0364963503649635,274
0,0.25,0,0.0,4
0,0.16655694535878868,0,0.017116524028966424,1519
0,0.1978021978021978,0,0.04395604395604396,91
1,0.125,1,0.04032258064516129,248
0,0.14285714285714285,0,0.07142857142857142,14
1,0.11944444444444445,0,0.058333333333333334,360
0,0.0,0,0.0,7
1,0.11528150134048257,1,0.04825737265415549,373
1,0.2391304347826087,0,0.25,92
0,0.0,0,0.0,4
1,0.3103448275862069,0,0.0,29
0,0.5,0,0.0,2
1,0.1965065502183406,0,0.9890829694323144,458
0,0.0,0,0.0,7
1,0.11213235294117647,0,0.03125,544
0,0.3333333333333333,0,0.0,39
